
Spine Intensity Sum Ch=3 Img=1
 ==================== 
Spine Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,3,0,Image 1,1,1,100000001,610000008981,
368,,Spine,3,1,Image 1,2,1,100000001,610000008982,
0,,Spine,3,6,Image 1,3,1,100000001,610000008983,
0,,Spine,3,1,Image 1,2,1,100000001,610000008984,
0,,Spine,3,1,Image 1,2,1,100000001,610000008985,
0,,Spine,3,4,Image 1,2,1,100000001,610000008986,
19,,Spine,3,2,Image 1,1,1,100000001,610000008987,
672,,Spine,3,4,Image 1,3,1,100000001,610000008988,
17,,Spine,3,0,Image 1,1,1,100000001,610000008989,
0,,Spine,3,1,Image 1,2,1,100000001,610000008991,
0,,Spine,3,0,Image 1,1,1,100000001,610000008992,
0,,Spine,3,0,Image 1,1,1,100000001,610000008993,
0,,Spine,3,0,Image 1,1,1,100000001,610000008994,
0,,Spine,3,0,Image 1,1,1,100000001,610000008995,
0,,Spine,3,0,Image 1,1,1,100000001,610000008996,
0,,Spine,3,0,Image 1,1,1,100000001,610000008997,
0,,Spine,3,4,Image 1,2,1,100000002,610000009000,
0,,Spine,3,13,Image 1,3,1,100000002,610000009001,
0,,Spine,3,11,Image 1,2,1,100000002,610000009002,
0,,Spine,3,9,Image 1,2,1,100000002,610000009003,
0,,Spine,3,9,Image 1,2,1,100000002,610000009004,
0,,Spine,3,16,Image 1,2,1,100000002,610000009005,
0,,Spine,3,11,Image 1,2,1,100000002,610000009006,
0,,Spine,3,10,Image 1,1,1,100000002,610000009007,
0,,Spine,3,10,Image 1,1,1,100000002,610000009008,
0,,Spine,3,9,Image 1,1,1,100000002,610000009009,
155,,Spine,3,9,Image 1,1,1,100000002,610000009010,
50,,Spine,3,8,Image 1,1,1,100000002,610000009011,
0,,Spine,3,7,Image 1,1,1,100000002,610000009012,
42,,Spine,3,7,Image 1,1,1,100000002,610000009013,
290,,Spine,3,4,Image 1,2,1,100000002,610000009014,
0,,Spine,3,3,Image 1,2,1,100000002,610000009015,
9443,,Spine,3,2,Image 1,2,1,100000002,610000009016,
11144,,Spine,3,2,Image 1,2,1,100000002,610000009017,
619,,Spine,3,1,Image 1,1,1,100000002,610000009018,
736,,Spine,3,1,Image 1,1,1,100000002,610000009019,
23,,Spine,3,0,Image 1,1,1,100000002,610000009020,
0,,Spine,3,6,Image 1,4,1,100000002,610000009022,
0,,Spine,3,8,Image 1,4,1,100000002,610000009023,
0,,Spine,3,8,Image 1,4,1,100000002,610000009024,
0,,Spine,3,6,Image 1,3,1,100000002,610000009025,
0,,Spine,3,5,Image 1,3,1,100000002,610000009026,
0,,Spine,3,5,Image 1,3,1,100000002,610000009027,
0,,Spine,3,5,Image 1,3,1,100000002,610000009028,
309,,Spine,3,3,Image 1,1,1,100000002,610000009029,
0,,Spine,3,6,Image 1,3,1,100000002,610000009030,
171,,Spine,3,5,Image 1,2,1,100000002,610000009031,
0,,Spine,3,4,Image 1,2,1,100000002,610000009032,
0,,Spine,3,5,Image 1,3,1,100000002,610000009033,
0,,Spine,3,5,Image 1,2,1,100000002,610000009034,
0,,Spine,3,5,Image 1,2,1,100000002,610000009035,
0,,Spine,3,5,Image 1,2,1,100000002,610000009036,
0,,Spine,3,2,Image 1,2,1,100000002,610000009037,
15,,Spine,3,1,Image 1,1,1,100000002,610000009038,
0,,Spine,3,6,Image 1,5,1,100000003,610000009040,
329,,Spine,3,5,Image 1,5,1,100000003,610000009041,
65,,Spine,3,4,Image 1,4,1,100000003,610000009042,
0,,Spine,3,4,Image 1,4,1,100000003,610000009043,
174,,Spine,3,10,Image 1,6,1,100000003,610000009044,
0,,Spine,3,4,Image 1,3,1,100000003,610000009045,
0,,Spine,3,5,Image 1,3,1,100000003,610000009046,
0,,Spine,3,5,Image 1,2,1,100000003,610000009047,
0,,Spine,3,1,Image 1,2,1,100000003,610000009048,
0,,Spine,3,1,Image 1,2,1,100000003,610000009049,
0,,Spine,3,1,Image 1,2,1,100000003,610000009050,
0,,Spine,3,0,Image 1,1,1,100000003,610000009051,
0,,Spine,3,6,Image 1,1,1,100000003,610000009052,
159,,Spine,3,4,Image 1,2,1,100000003,610000009053,
11,,Spine,3,5,Image 1,3,1,100000003,610000009054,
1098,,Spine,3,1,Image 1,1,1,100000003,610000009055,
0,,Spine,3,7,Image 1,2,1,100000003,610000009056,
0,,Spine,3,7,Image 1,2,1,100000003,610000009057,
0,,Spine,3,7,Image 1,2,1,100000003,610000009058,
190,,Spine,3,7,Image 1,2,1,100000003,610000009059,
0,,Spine,3,6,Image 1,2,1,100000003,610000009060,
0,,Spine,3,5,Image 1,2,1,100000003,610000009061,
0,,Spine,3,5,Image 1,2,1,100000003,610000009062,
0,,Spine,3,3,Image 1,1,1,100000003,610000009063,
0,,Spine,3,1,Image 1,1,1,100000003,610000009064,
0,,Spine,3,4,Image 1,2,1,100000003,610000009066,
0,,Spine,3,2,Image 1,2,1,100000003,610000009067,
1553,,Spine,3,5,Image 1,2,1,100000003,610000009068,
0,,Spine,3,5,Image 1,2,1,100000003,610000009069,
0,,Spine,3,4,Image 1,1,1,100000003,610000009070,
3204,,Spine,3,2,Image 1,2,1,100000003,610000009072,
0,,Spine,3,2,Image 1,2,1,100000003,610000009073,
0,,Spine,3,1,Image 1,2,1,100000003,610000009074,
0,,Spine,3,2,Image 1,3,1,100000004,610000009075,
2138,,Spine,3,1,Image 1,1,1,100000005,610000009082,
119,,Spine,3,4,Image 1,2,1,100000005,610000009084,
0,,Spine,3,6,Image 1,3,1,100000005,610000009085,
0,,Spine,3,1,Image 1,2,1,100000005,610000009086,
